       psi        ni[m^-3]        ne[m^-3]       ti[eV]       te[eV]    we[rad/s]
1.267057E-01   4.269298E+19   5.107011E+19   3.974283E+03   2.346530E+03   1.000000E+00
1.286550E-01   4.264599E+19   5.100911E+19   3.960731E+03   2.343875E+03   1.000000E+00
1.306043E-01   4.259882E+19   5.094814E+19   3.947228E+03   2.341215E+03   1.000000E+00
1.325536E-01   4.255147E+19   5.088721E+19   3.933775E+03   2.338549E+03   1.000000E+00
1.345029E-01   4.250394E+19   5.082630E+19   3.920371E+03   2.335878E+03   1.000000E+00
1.364522E-01   4.245624E+19   5.076542E+19   3.907017E+03   2.333203E+03   1.000000E+00
1.384016E-01   4.240838E+19   5.070458E+19   3.893711E+03   2.330522E+03   1.000000E+00
1.403509E-01   4.236034E+19   5.064377E+19   3.880454E+03   2.327836E+03   1.000000E+00
1.423002E-01   4.231215E+19   5.058299E+19   3.867245E+03   2.325146E+03   1.000000E+00
1.442495E-01   4.226380E+19   5.052225E+19   3.854084E+03   2.322450E+03   1.000000E+00
1.461988E-01   4.221530E+19   5.046154E+19   3.840972E+03   2.319750E+03   1.000000E+00
1.481481E-01   4.216665E+19   5.040087E+19   3.827906E+03   2.317044E+03   1.000000E+00
1.500975E-01   4.211785E+19   5.034024E+19   3.814889E+03   2.314334E+03   1.000000E+00
1.520468E-01   4.206891E+19   5.027964E+19   3.801918E+03   2.311620E+03   1.000000E+00
1.539961E-01   4.201983E+19   5.021908E+19   3.788995E+03   2.308900E+03   1.000000E+00
1.559454E-01   4.197061E+19   5.015856E+19   3.776118E+03   2.306176E+03   1.000000E+00
1.578947E-01   4.192125E+19   5.009808E+19   3.763289E+03   2.303448E+03   1.000000E+00
1.598441E-01   4.187177E+19   5.003763E+19   3.750505E+03   2.300715E+03   1.000000E+00
1.617934E-01   4.182216E+19   4.997723E+19   3.737768E+03   2.297977E+03   1.000000E+00
1.637427E-01   4.177242E+19   4.991687E+19   3.725077E+03   2.295235E+03   1.000000E+00
1.656920E-01   4.172257E+19   4.985655E+19   3.712431E+03   2.292489E+03   1.000000E+00
1.676413E-01   4.167259E+19   4.979627E+19   3.699832E+03   2.289738E+03   1.000000E+00
1.695906E-01   4.162250E+19   4.973604E+19   3.687278E+03   2.286983E+03   1.000000E+00
1.715400E-01   4.157230E+19   4.967584E+19   3.674769E+03   2.284223E+03   1.000000E+00
1.734893E-01   4.152199E+19   4.961569E+19   3.662306E+03   2.281459E+03   1.000000E+00
1.754386E-01   4.147157E+19   4.955559E+19   3.649888E+03   2.278691E+03   1.000000E+00
1.773879E-01   4.142104E+19   4.949553E+19   3.637514E+03   2.275919E+03   1.000000E+00
1.793372E-01   4.137042E+19   4.943551E+19   3.625186E+03   2.273142E+03   1.000000E+00
1.812865E-01   4.131970E+19   4.937554E+19   3.612901E+03   2.270361E+03   1.000000E+00
1.832359E-01   4.126888E+19   4.931562E+19   3.600662E+03   2.267576E+03   1.000000E+00
1.851852E-01   4.121797E+19   4.925574E+19   3.588466E+03   2.264787E+03   1.000000E+00
1.871345E-01   4.116696E+19   4.919591E+19   3.576315E+03   2.261994E+03   1.000000E+00
1.890838E-01   4.111587E+19   4.913613E+19   3.564208E+03   2.259197E+03   1.000000E+00
1.910331E-01   4.106470E+19   4.907639E+19   3.552145E+03   2.256396E+03   1.000000E+00
1.929825E-01   4.101344E+19   4.901671E+19   3.540125E+03   2.253591E+03   1.000000E+00
1.949318E-01   4.096210E+19   4.895707E+19   3.528149E+03   2.250782E+03   1.000000E+00
1.968811E-01   4.091069E+19   4.889748E+19   3.516216E+03   2.247969E+03   1.000000E+00
1.988304E-01   4.085920E+19   4.883794E+19   3.504327E+03   2.245152E+03   1.000000E+00
2.007797E-01   4.080763E+19   4.877846E+19   3.492481E+03   2.242331E+03   1.000000E+00
2.027290E-01   4.075600E+19   4.871902E+19   3.480678E+03   2.239506E+03   1.000000E+00
2.046784E-01   4.070430E+19   4.865963E+19   3.468918E+03   2.236677E+03   1.000000E+00
2.066277E-01   4.065253E+19   4.860030E+19   3.457201E+03   2.233845E+03   1.000000E+00
2.085770E-01   4.060070E+19   4.854102E+19   3.445527E+03   2.231009E+03   1.000000E+00
2.105263E-01   4.054880E+19   4.848179E+19   3.433895E+03   2.228169E+03   1.000000E+00
2.124756E-01   4.049685E+19   4.842261E+19   3.422305E+03   2.225325E+03   1.000000E+00
2.144250E-01   4.044484E+19   4.836348E+19   3.410759E+03   2.222477E+03   1.000000E+00
2.163743E-01   4.039278E+19   4.830441E+19   3.399254E+03   2.219626E+03   1.000000E+00
2.183236E-01   4.034067E+19   4.824540E+19   3.387791E+03   2.216771E+03   1.000000E+00
